发表日期	产品名	抓取来源	是否天猫超市	是否天猫	原文地址	店名	内容	标题	内容_维度	内容_属性	内容_情感	内容_正负面
2016/7/27 13:57	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_10b96ec2-92c2-4970-8810-42b69ebf6db0_1.html		给力啊，看样子不错，还没吃。。。	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	服务	物流	给力	正面
2016/7/27 13:58	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_7ee1914b-78a0-492d-b1de-4e0cc7e34306_1.html		这个花生很好吃！口感和味道都很棒！	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品|产品	味道|味道	很棒|好吃	正面|正面
2016/7/27 13:59	绅士牌-花生	京东商城			http://club.jd.com/repay/3260374_f3b94918-9b4e-49fa-a183-70eb725f2540_1.html		亨氏员工竟然抢不到，不开心，但还是要支持。	美国进口 绅士牌（planters) 美式甜脆花生283g	品牌	回头率	支持	正面
2016/7/27 14:25	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_d424d576-cbb3-457b-8856-5106beefffdd_1.html		昨天买的今天已经收到货了，非常好吃的坚果，已经推荐好朋友们购买了。	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	服务|产品|品牌	物流|味道|回头率	NULL|好吃|推荐	中性|正面|正面
2016/7/27 14:36	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_dc7a22d8-2b91-4e83-add4-a024f5ffda51_1.html		味道棒棒哒！很好吃的！办公室同事都喜欢吃！	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品|产品|产品	味道|喜好度|味道	棒|喜欢|好吃	正面|正面|正面
2016/7/27 14:36	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_3cc44f66-86b1-49e6-b46a-ad08213d4ed4_1.html		1元秒杀的，很不错，非常好吃！	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品|价格感知	味道|促销活动	好吃|秒杀	正面|正面
2016/7/27 14:39	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_2a6abad3-7785-4089-bea7-836ad1865012_1.html		真心好吃，还会再来	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品|品牌	味道|回头率	好吃|还会再来	正面|正面
2016/7/27 14:41	绅士牌-花生	京东商城			http://club.jd.com/repay/3260374_bea3a318-47b2-4c20-92be-ef1687b4d1fe_1.html		美国原装进口，健康又美味，120个赞！	美国进口 绅士牌（planters) 美式甜脆花生283g	安全性	货源	原装	正面
2016/7/27 14:42	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_987c234c-0588-4c12-a657-3869515a4eba_1.html		好评	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g				
2016/7/27 14:44	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_8b4b711d-a117-44ae-8c0a-bd00f99bffea_1.html		前一天下午下单，第二天中午已经在吃了(^_^)，YAMIYAMI真好吃	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品	味道	好吃	正面
